room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5950972,30893960,Entire home/apt,,24,0,,2,0.0,48.0,14.0,56.156028,10.209526,2016-10-29 01:31:34.014479
4839956,24908284,Entire home/apt,,5,0,,4,3.0,74.0,1.0,56.199157,10.208219,2016-10-29 01:31:25.669959
13602745,51888311,Entire home/apt,,24,2,,4,2.0,91.0,3.0,56.156998,10.206483,2016-10-29 01:31:15.203523
10582411,11019502,Entire home/apt,,4,8,5.0,2,1.0,91.0,1.0,56.173423,10.201426,2016-10-29 01:30:31.005763
12013088,6144193,Entire home/apt,,24,3,4.5,2,0.0,43.0,2.0,56.158445,10.195204,2016-10-29 01:30:24.489199
4219474,2907758,Entire home/apt,,24,33,5.0,3,2.0,60.0,2.0,56.146839,10.199359,2016-10-29 01:30:14.899982
15339766,13193693,Entire home/apt,,24,2,,3,1.0,91.0,2.0,56.151509,10.206668,2016-10-29 01:30:10.490474
1261804,4617919,Private room,,24,40,4.5,2,1.0,61.0,1.0,56.165086,10.194927,2016-10-29 01:29:58.820797
13894748,24756702,Entire home/apt,,24,0,,6,3.0,71.0,2.0,56.170627,10.215607,2016-10-29 01:29:50.801949
11954416,40817426,Entire home/apt,,24,3,4.5,3,1.0,57.0,2.0,56.16519,10.216042,2016-10-29 01:29:47.024050
12517023,14246684,Private room,,24,1,,2,1.0,98.0,1.0,56.171446,10.218788,2016-10-29 01:29:43.613148
6475302,33481860,Private room,,24,0,,2,1.0,47.0,1.0,56.165956,10.191238,2016-10-29 01:29:25.586262
12317924,61968816,Entire home/apt,,24,6,4.0,2,1.0,53.0,1.0,56.155976,10.195758,2016-10-29 01:29:19.645620
12727781,69205478,Entire home/apt,,5,4,4.5,4,2.0,53.0,1.0,56.19887,10.206571,2016-10-29 01:28:59.866871
11919782,6983070,Entire home/apt,,4,2,,6,4.0,106.0,3.0,56.180089,10.201978,2016-10-29 01:28:56.497869
14250042,8622061,Entire home/apt,,24,3,5.0,3,1.0,90.0,1.0,56.155391,10.19901,2016-10-29 01:28:49.303867
7751516,40753596,Entire home/apt,,24,1,,2,1.0,72.0,1.0,56.164445,10.21661,2016-10-29 01:28:44.340410
15338219,93140662,Entire home/apt,,24,0,,4,2.0,181.0,2.0,56.153128,10.204083,2016-10-29 01:28:20.398290
12048780,64519449,Entire home/apt,,24,0,,4,2.0,121.0,1.0,56.162068,10.209795,2016-10-29 01:28:16.647290
3129651,15860966,Entire home/apt,,24,0,,2,1.0,91.0,1.0,56.16898,10.218339,2016-10-29 01:28:07.589950
4005324,15522141,Private room,,3,41,5.0,1,1.0,34.0,1.0,56.171799,10.180771,2016-10-29 01:28:00.969792
3948925,20466817,Private room,,24,0,,4,1.0,75.0,1.0,56.15281,10.19242,2016-10-29 01:27:31.804104
13505588,70939391,Private room,,24,2,,2,1.0,34.0,1.0,56.145395,10.201392,2016-10-29 01:27:14.752020
2962843,15120661,Entire home/apt,,24,11,5.0,4,1.0,48.0,2.0,56.154725,10.205128,2016-10-29 01:27:07.923498
13189529,59679431,Entire home/apt,,3,1,,10,4.0,206.0,2.0,56.170564,10.168849,2016-10-29 01:27:04.523493
6463339,31734569,Entire home/apt,,3,18,5.0,4,2.0,61.0,1.0,56.167338,10.189248,2016-10-29 01:27:00.744950
5554603,28797695,Entire home/apt,,24,15,4.5,4,1.0,75.0,2.0,56.168736,10.220319,2016-10-29 01:26:44.433265
12726688,21252146,Entire home/apt,,24,0,,2,1.0,55.0,2.0,56.143021,10.193798,2016-10-29 01:26:17.903754
